日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/09/30,"19,261,782","1,026,226,044",53.70,53.70,53.00,53.00,-0.30,"11,727",
114/10/01,"16,877,750","888,898,133",53.20,53.40,52.30,52.30,-0.70,"11,067",
114/10/02,"16,819,473","870,156,957",52.00,52.40,51.30,51.50,-0.80,"14,187",
114/10/03,"15,425,299","804,994,788",51.60,52.70,51.60,52.00,+0.50,"8,691",
114/10/07,"10,241,653","533,114,367",52.20,52.40,51.80,51.80,-0.20,"7,526",
114/10/08,"7,858,857","406,394,341",51.90,52.00,51.50,51.70,-0.10,"5,724",
114/10/09,"10,014,695","516,464,168",51.80,51.90,51.30,51.30,-0.40,"7,547",
114/10/13,"16,602,994","850,309,966",50.10,51.90,50.10,51.60,+0.30,"10,454",
114/10/14,"94,171,725","5,244,868,535",52.00,56.70,51.90,56.70,+5.10,"50,189",
114/10/15,"76,255,609","4,118,576,893",55.70,55.70,53.10,53.20,-3.50,"42,829",
114/10/16,"18,478,762","986,822,668",53.30,53.90,53.10,53.30,+0.10,"11,023",
114/10/17,"59,084,467","3,261,712,797",53.90,56.60,53.90,54.10,+0.80,"33,269",
114/10/20,"19,288,318","1,046,875,893",55.40,55.70,53.80,54.00,-0.10,"13,541",
114/10/21,"12,357,133","667,839,923",54.50,54.50,53.80,53.80,-0.20,"8,006",
114/10/22,"22,002,012","1,195,407,136",54.10,55.20,53.80,53.90,+0.10,"11,852",
114/10/23,"10,424,936","564,776,014",53.80,54.60,53.70,54.00,+0.10,"6,468",
114/10/27,"13,982,934","761,228,511",54.60,54.80,54.00,54.30,+0.30,"8,517",
114/10/28,"17,077,705","940,248,404",54.80,55.40,54.70,55.10,+0.80,"11,041",
114/10/29,"27,281,118","1,529,880,227",55.40,56.70,55.00,56.50,+1.40,"16,307",
114/10/30,"119,154,156","7,074,290,692",57.00,61.30,57.00,60.00,+3.50,"67,107",
114/10/31,"51,935,891","3,027,115,565",59.40,59.90,57.50,57.50,-2.50,"39,239",
114/11/03,"26,228,107","1,500,867,877",58.30,58.80,56.50,56.50,-1.00,"18,749",
114/11/04,"16,261,174","904,746,973",56.50,57.00,55.10,55.20,-1.30,"13,002",
114/11/05,"16,644,194","904,093,149",54.40,54.90,54.10,54.50,-0.70,"11,402",
114/11/06,"12,466,780","685,394,390",54.80,55.50,54.50,55.00,+0.50,"8,082",
114/11/07,"10,784,286","589,972,790",54.60,55.50,54.30,54.30,-0.70,"6,774",
114/11/10,"13,913,956","738,735,070",54.00,54.00,52.80,53.00,-1.30,"10,472",
114/11/11,"9,724,856","513,930,185",53.00,53.20,52.70,52.70,-0.30,"8,970",
114/11/12,"18,250,157","989,437,380",53.90,54.90,53.60,54.10,+1.40,"11,477",
114/11/13,"12,321,285","667,255,046",54.10,54.60,53.90,54.20,+0.10,"8,070",
114/11/14,"16,739,322","911,376,845",53.80,55.40,53.60,53.70,-0.50,"11,200",
114/11/17,"12,055,158","640,101,886",53.60,53.60,52.90,53.10,-0.60,"9,390",
114/11/18,"26,182,783","1,370,364,349",52.90,53.90,51.60,51.60,-1.50,"15,644",
114/11/19,"24,055,142","1,248,250,982",51.90,53.30,51.30,51.50,-0.10,"18,606",
114/11/20,"17,387,985","901,788,855",51.90,52.70,51.60,51.60,+0.10,"9,776",
114/11/21,"26,842,991","1,372,820,539",51.10,52.10,50.80,51.00,-0.60,"14,540",
114/11/24,"26,829,748","1,388,361,285",51.30,52.50,50.80,52.30,+1.30,"11,830",
114/11/25,"16,206,122","837,571,860",52.40,52.50,51.30,51.30,-1.00,"10,728",
114/11/26,"25,948,240","1,363,134,312",51.90,53.30,51.70,52.50,+1.20,"12,981",
114/11/27,"16,654,887","866,044,052",52.50,52.80,51.60,52.10,-0.40,"8,420",
