timestamp,open,high,low,close,volume
2020-01-02,22.4,22.7,22.35,22.35,2194046
2020-01-03,22.45,22.45,21.6,21.75,4062196
2020-01-06,21.75,21.75,21.4,21.6,1884930
2020-01-07,21.7,22.15,21.6,21.95,2878871
2020-01-08,21.8,21.8,21.3,21.3,2606883
2020-01-09,21.4,21.55,21.25,21.55,1456880
2020-01-10,21.55,21.6,21.35,21.5,708846
2020-01-13,21.35,21.55,21.3,21.5,1452293
2020-01-14,21.55,21.8,21.55,21.65,1555707
2020-01-15,21.55,21.8,21.55,21.75,1198136
2020-01-16,21.75,21.8,21.6,21.75,1065016
2020-01-17,21.8,21.85,21.7,21.8,1215599
2020-01-20,21.85,21.95,21.75,21.95,1271244
2020-01-30,21,21,20,20.25,4702523
2020-01-31,19.85,20.7,19.85,20.55,2155785
2020-02-03,20,20.55,19.7,20.55,2277468
2020-02-04,20.6,20.85,20.45,20.75,1163394
2020-02-05,20.85,20.85,20.5,20.65,974123
2020-02-06,20.6,20.8,20.55,20.65,1134599
2020-02-07,20.35,20.35,19.95,20,3671546
2020-02-10,19.5,19.95,19.5,19.65,2772592
2020-02-11,19.75,19.95,19.75,19.9,1032703
2020-02-12,19.9,20.1,19.8,19.95,979141
2020-02-13,20,20.3,20,20,1254365
2020-02-14,20.05,20.2,20.05,20.2,651422
2020-02-17,20.15,20.25,19.95,20.1,914743
2020-02-18,20.1,20.4,20.05,20.3,928755
2020-02-19,20.15,20.45,20.15,20.4,924429
2020-02-20,20.45,20.5,20.05,20.2,1303695
2020-02-21,20.1,20.3,20,20.3,1170769
2020-02-24,20.1,20.3,20.05,20.2,1373766
2020-02-25,20,20.2,19.95,20.2,1085048
2020-02-26,20,20.2,20,20.1,1238317
2020-02-27,20.2,20.2,19.8,19.95,1473662
2020-03-02,19.25,20.05,19.2,19.85,2105346
2020-03-03,20.05,20.05,19.8,19.9,1163696
2020-03-04,19.95,19.95,19.7,19.9,839272
2020-03-05,20,20.1,19.9,20,872399
2020-03-06,19.95,19.95,19.7,19.85,932124
2020-03-09,19.65,19.65,18.8,19,2767639
2020-03-10,18.55,18.55,17.7,18.3,3902308
2020-03-11,18.3,18.7,18.25,18.5,2002250
2020-03-12,18.3,18.3,17.45,17.45,2687278
2020-03-13,15.9,16.35,15.8,16.3,4286320
2020-03-16,16.25,16.6,15.8,15.8,1932469
2020-03-17,14.6,15.5,14.6,15.25,1734564
