timestamp,open,high,low,close,volume
2020-01-02,237,250,237,248.5,6697245
2020-01-03,251,253.5,242,250,6732871
2020-01-06,247.5,248.5,243.5,243.5,2144867
2020-01-07,246,247,234.5,235.5,4679799
2020-01-08,233.5,240.5,232,237,3509637
2020-01-09,239,248.5,238,246,4002214
2020-01-10,245,249.5,243,248,2482186
2020-01-13,249,258,246,257.5,5206221
2020-01-14,257,261.5,256,261.5,4914763
2020-01-15,260,261,253.5,254,2589282
2020-01-16,253.5,257.5,249.5,257.5,3367843
2020-01-17,261,273.5,261,262,7821520
2020-01-20,266,267,260,260.5,2700700
2020-01-30,254.5,256,244.5,245,5782947
2020-01-31,249,251.5,243.5,247.5,2967877
2020-02-03,241.5,243.5,238.5,243.5,4396811
2020-02-04,241.5,249,241.5,248,1841450
2020-02-05,249,250.5,243,244,2944824
2020-02-06,250,259,249.5,257.5,6271960
2020-02-07,254,254,249,249.5,3851757
2020-02-10,243,249,243,245,2599649
2020-02-11,248,250,246,248,1644099
2020-02-12,248.5,256.5,248.5,252.5,3249950
2020-02-13,254,254,251,253,1742214
2020-02-14,253.5,259,253.5,257,2465863
2020-02-17,254,258,253,254,1548483
2020-02-18,253,255.5,249,252,1844718
2020-02-19,251.5,256.5,251,254.5,1507600
2020-02-20,256,257,249.5,249.5,2212898
2020-02-21,249,249.5,245,245.5,1619956
2020-02-24,242,243.5,239,239,2746412
2020-02-25,236.5,242,234,239,3744857
2020-02-26,233,237,230.5,236,4919986
2020-02-27,232.5,235,225,225,5600994
2020-03-02,216,226.5,209,225,6934998
2020-03-03,230,230.5,226.5,228.5,5976179
2020-03-04,228.5,231,223.5,229,3729071
2020-03-05,233.5,238,232,237.5,3424924
2020-03-06,235,238.5,235,236,3286581
2020-03-09,229,232.5,227.5,229.5,3406254
2020-03-10,227,231,227,228,3879147
2020-03-11,227.5,230,225,225,4738007
2020-03-12,221,221.5,203,205,6824701
2020-03-13,186,203.5,185,201.5,6903533
2020-03-16,198,201,187,187,7348777
2020-03-17,181,192.5,180,184.5,6141506
2020-03-18,182.5,187,179.5,180,5435308
2020-03-19,173,175,162,162,8599024
2020-03-20,166,176.5,166,171,6859117
2020-03-23,163,173.5,162,168.5,5843346
2020-03-24,175,182,174.5,178,5288915
2020-03-25,185,195.5,185,191,5869967
2020-03-26,197.5,205,191.5,201,5385951
2020-03-27,207.5,210,200,201,7167736
2020-03-30,197.5,202,194.5,199,4308767
2020-03-31,201,218.5,201,218.5,9692777
2020-04-01,217,220.5,210,213,5583682
2020-04-06,220.5,221,214,220,3424130
2020-04-07,221,224.5,218.5,219.5,5036217
2020-04-08,217,221.5,216.5,218,3505643
2020-04-09,218,221.5,215,219,3772017
2020-04-10,221,222,217,217.5,1618217
2020-04-13,217,219,215.5,216,1948518
2020-04-14,219,226.5,218.5,223,4430936
2020-04-15,225.5,227.5,222,224.5,2871136
2020-04-16,224,227,221,222.5,3577420
2020-04-17,227.5,238.5,226.5,230.5,8672593
2020-04-20,232.5,237,230,233,4531182
2020-04-21,232.5,237,230.5,233.5,4157363
2020-04-22,236,241,232.5,241,7030855
2020-04-23,241,241,235,235.5,4312348
2020-04-24,234,237.5,231.5,231.5,3329654
2020-04-27,237.5,243,236,236,7131761
2020-04-28,239.5,241,235.5,236.5,4009130
2020-04-29,240.5,249,240,246.5,6313917
2020-04-30,251,258,249,257.5,6834278
2020-05-04,244,248,239,242,10382327
2020-05-05,244,245.5,239,242,4178297
2020-05-06,244.5,245,240.5,243.5,3190962
2020-05-07,246,254,246,249.5,5717242
2020-05-08,252,254,250,250.5,4224875
2020-05-11,252,253.5,250,250,1895977
2020-05-12,252,252,243.5,244,3624795
2020-05-13,242,251.5,242,251.5,4114462
2020-05-14,251.5,253.5,246,246,2520079
2020-05-15,248,250,237,245.5,4792061
2020-05-18,248,253,242,250,5391001
2020-05-19,253.5,266,253.5,256,10665099
2020-05-20,258.5,261.5,252,255.5,5811301
2020-05-21,256.5,261.5,256.5,260.5,5339761
2020-05-22,250,256,246,246.5,6934133
2020-05-25,246.5,248,239.5,247,5238811
2020-05-26,250,252.5,248,251,2708044
2020-05-27,253,254.5,250,251,1563530
2020-05-28,255,256.5,253,254.5,4503434
2020-05-29,256,262,253.5,258.5,7441792
2020-06-01,263,272,263,269.5,8738087
2020-06-02,271.5,271.5,265,268,6636535
2020-06-03,271,271,265.5,266,2638115
2020-06-04,269,273.5,266.5,268,2871605
2020-06-05,268,269.5,267,269.5,1630653
2020-06-08,272,281.5,271.5,275,4964278
2020-06-09,274.5,275,268,271,2668501
2020-06-10,272,275,270,273.5,1932329
2020-06-11,273,281,271,273.5,4010496
2020-06-12,266.5,271.5,264.5,270.5,2847778
2020-06-15,271.5,278.5,270,272,2917695
2020-06-16,272,276,268.5,274.5,4085646
2020-06-17,278,287.5,275,284.5,6036889
2020-06-18,287,290.5,283,286,2916027
2020-06-19,290,298,289,295,5569609
2020-06-22,294.5,304,293,298.5,2949044
2020-06-23,302,303,294,295,3536330
2020-06-24,299.5,310,297,306.5,5332989
2020-06-29,300.5,304.5,297,297.5,4483866
2020-06-30,300,302,297.5,299,3338195
2020-07-01,301.5,317.5,301,314,6039155
2020-07-02,319.5,326,315,317,5310183
2020-07-03,321.5,335,321,333.5,7097551
2020-07-06,341,350.5,338.5,350,6004631
2020-07-07,358,364,340,343.5,7885255
2020-07-08,346.5,357,345,354,5562656
