timestamp,open,high,low,close,volume
2020-01-02,24,24.1,23.9,24,6939981
2020-01-03,24.05,24.1,23.95,24.1,12353288
2020-01-06,24,24.05,23.8,23.8,7042674
2020-01-07,23.8,23.9,23.7,23.7,7693624
2020-01-08,23.7,23.7,23.5,23.55,9122876
2020-01-09,23.55,23.8,23.55,23.75,8137459
2020-01-10,23.8,23.9,23.7,23.85,7270995
2020-01-13,23.9,24,23.85,24,9763148
2020-01-14,24,24.05,23.9,24.05,7882342
2020-01-15,24,24.05,23.9,24.05,10148530
2020-01-16,24,24.05,23.9,24,5347528
2020-01-17,24,24.05,23.95,24.05,6731978
2020-01-20,24,24.1,24,24.05,6941985
2020-01-30,23.45,23.5,23,23,39414010
2020-01-31,23,23.35,23,23.1,18198559
2020-02-03,23,23.15,22.85,23,19364728
2020-02-04,23,23.4,22.95,23.2,13835398
2020-02-05,23.2,23.4,23.05,23.25,10362337
2020-02-06,23.25,23.5,23.2,23.35,12028716
2020-02-07,23.3,23.35,23.2,23.3,7882927
2020-02-10,23.25,23.45,23.2,23.45,11393229
2020-02-11,23.4,23.5,23.3,23.45,6370492
2020-02-12,23.4,23.45,23.35,23.45,5236019
2020-02-13,23.35,23.45,23.35,23.4,8813253
2020-02-14,23.35,23.45,23.35,23.45,6221213
2020-02-17,23.35,23.35,23.2,23.35,6014263
2020-02-18,23.25,23.45,23.2,23.45,7446292
2020-02-19,23.45,23.55,23.35,23.5,8112007
2020-02-20,23.5,23.5,23.3,23.3,8685741
2020-02-21,23.3,23.4,23.2,23.2,9537984
2020-02-24,23.1,23.15,23,23,15245702
2020-02-25,23,23,22.9,22.95,13970823
2020-02-26,22.9,22.95,22.85,22.85,19514784
2020-02-27,22.85,23,22.85,23,16708738
2020-03-02,22.75,22.95,22.75,22.9,19482263
2020-03-03,22.95,23,22.85,23,12117980
2020-03-04,23,23.2,22.95,23.2,14096692
2020-03-05,23.2,23.3,23.1,23.3,8007708
2020-03-06,23.15,23.2,22.85,22.9,17960395
2020-03-09,22.7,22.75,22.4,22.4,30241309
2020-03-10,22.3,22.45,22.2,22.35,17919916
2020-03-11,22.3,22.4,22.2,22.35,21766453
2020-03-12,22.2,22.2,21.3,21.4,33757335
2020-03-13,20.2,20.3,19.65,20.2,72221523
2020-03-16,20.2,20.25,20,20,31513002
2020-03-17,19.8,19.8,19.4,19.5,46625543
2020-03-18,19.5,19.65,19.25,19.3,35354413
2020-03-19,19,19.05,18.35,18.6,52484394
2020-03-20,18.7,19.8,18.7,19.8,52775496
2020-03-23,18.8,19.15,18.7,18.9,22825663
2020-03-24,19.65,19.65,19,19.05,27364002
2020-03-25,19.3,19.5,19.25,19.4,24722266
2020-03-26,19.5,19.7,19.25,19.55,18023210
2020-03-27,19.6,19.65,19.35,19.4,21317668
2020-03-30,19.05,19.1,18.85,19,20238054
2020-03-31,19.1,19.15,18.9,18.95,23102361
2020-04-01,19,19,18.8,18.8,25482019
2020-04-06,19.1,19.25,18.85,19.25,24482206
2020-04-07,19.5,19.5,19.2,19.3,16015578
2020-04-08,19.35,19.6,19.35,19.55,19420509
2020-04-09,19.6,19.7,19.5,19.5,14680937
2020-04-10,19.55,19.7,19.5,19.7,12690752
2020-04-13,19.7,19.7,19.5,19.55,9095860
2020-04-14,19.6,19.75,19.55,19.75,17362473
2020-04-15,19.85,20,19.8,20,23388609
2020-04-16,19.95,20,19.65,19.75,25155502
2020-04-17,19.75,20,19.75,19.75,19880745
2020-04-20,19.75,19.9,19.55,19.6,14181789
2020-04-21,19.5,19.55,19.1,19.1,24477290
2020-04-22,19,19.15,18.85,19.15,17866816
2020-04-23,19.15,19.3,19,19.15,12990975
2020-04-24,19.15,19.25,19.05,19.15,9550654
2020-04-27,19.35,19.7,19.3,19.5,19287380
2020-04-28,19.65,19.65,19.45,19.55,13906838
2020-04-29,19.6,19.9,19.55,19.85,23251526
2020-04-30,19.95,20.1,19.85,20,37550070
2020-05-04,19.45,19.65,19.35,19.55,26299642
2020-05-05,19.6,20,19.6,19.8,14606111
2020-05-06,19.8,19.8,19.5,19.55,15813548
2020-05-07,19.6,19.7,19.55,19.55,13959657
2020-05-08,19.75,19.8,19.6,19.65,14611151
2020-05-11,19.8,19.95,19.8,19.85,18569257
2020-05-12,19.7,19.75,19.6,19.6,16441116
2020-05-13,19.6,19.85,19.55,19.85,15238466
2020-05-14,19.8,19.8,19.55,19.55,15552701
