timestamp,open,high,low,close,volume
2020-01-02,443,444.5,432.5,436,8548211
2020-01-03,454.5,475,447.5,468,28118067
2020-01-06,468,470.5,458.5,460,12740655
2020-01-07,416,435,414,414,21192602
2020-01-08,388,406,381,387,35163274
2020-01-09,397,402,390,392,14140532
2020-01-10,397,402.5,390.5,392.5,9523566
2020-01-13,396,398,383,390,9042478
2020-01-14,400.5,419,397.5,419,17957312
2020-01-15,425,427.5,411.5,413,14049419
2020-01-16,418.5,427,415.5,417,9812476
2020-01-17,424,425.5,413,413,7288120
2020-01-20,417,418.5,414.5,415.5,4665752
2020-01-30,380,393.5,374,374,16309733
2020-01-31,382.5,389.5,377.5,386.5,13467785
2020-02-03,373.5,392,367,392,15756985
2020-02-04,402,423,399,418.5,17514716
2020-02-05,425.5,426,410,413,14773647
2020-02-06,422,426.5,416,417,9846376
2020-02-07,419.5,421.5,414,416.5,9884754
2020-02-10,416.5,422.5,409.5,418.5,11237658
2020-02-11,429.5,442,429,437,17162890
2020-02-12,447,449,440,448,12732741
2020-02-13,453,455,437.5,439,10823507
2020-02-14,445,457,438.5,457,14994074
2020-02-17,454.5,460,448,453,10235254
2020-02-18,469.5,471.5,450,450,20988371
2020-02-19,454,460,441,460,16209294
2020-02-20,463,466,457.5,457.5,10709955
2020-02-21,464.5,473.5,460.5,472,17354003
2020-02-24,468,484.5,464,484.5,15141728
2020-02-25,478,498,475.5,485,24217945
2020-02-26,476,482.5,437,441,33457849
2020-02-27,441,449,410,410,33187422
2020-03-02,406,426,398,418.5,27123904
2020-03-03,434,436.5,416.5,417,17748337
2020-03-04,419,419,398.5,400.5,23244898
2020-03-05,408,412,401.5,410.5,15313493
2020-03-06,404,409,401.5,406.5,11601616
2020-03-09,398,402.5,383.5,386,18877374
2020-03-10,373.5,394.5,373.5,394.5,20610783
2020-03-11,396,403.5,378,383.5,17098764
2020-03-12,381,381,345.5,345.5,27805955
2020-03-13,313,326.5,311,320,24783620
2020-03-16,320,330.5,290.5,290.5,25494123
2020-03-17,276,296,262,265,38827745
2020-03-18,273,275,250,254.5,27465524
2020-03-19,253.5,256.5,229.5,229.5,29688751
2020-03-20,244,252,239,252,25209846
2020-03-23,241,254.5,232,252,18554723
2020-03-24,269,277,265.5,274,17219746
2020-03-25,290,295.5,283,292,21333546
2020-03-26,292,292.5,280,291.5,17889890
2020-03-27,303.5,305,280.5,280.5,14558400
2020-03-30,267.5,280,267,278,9849553
2020-03-31,287,287.5,272.5,274.5,9349063
2020-04-01,272,277,268,272.5,9186334
